iter	Passed	Remaining
0	133	159641
1	221	132440
2	307	122776
3	396	118522
4	482	115383
5	569	113351
6	660	112632
7	809	120676
8	949	125647
9	1067	127060
10	1227	132707
11	1313	129991
12	1400	127910
13	1490	126242
14	1576	124504
15	1668	123445
16	1774	123451
17	1868	122692
18	1964	122133
19	2049	120942
20	2144	120388
21	2235	119689
22	2321	118811
23	2413	118247
24	2500	117544
25	2593	117089
26	2683	116598
27	2786	116627
28	2884	116458
29	3046	118795
30	3178	119861
31	3294	120239
32	3404	120381
33	3493	119793
34	3589	119472
35	3694	119464
36	3788	119072
37	3904	119384
38	4008	119329
39	4098	118851
40	4192	118519
41	4311	118867
42	4401	118425
43	4488	117936
44	4586	117729
45	4709	118149
46	4796	117678
47	4912	117904
48	5017	117849
49	5114	117642
50	5211	117422
51	5321	117491
52	5419	117281
53	5500	116735
54	5585	116271
55	5710	116661
56	5807	116453
57	5890	115980
58	5974	115533
59	6061	115171
60	6170	115220
61	6284	115357
62	6371	114998
63	6455	114588
64	6545	114286
65	6627	113876
66	6727	113758
67	6830	113702
68	6960	114099
69	7051	113827
70	7139	113534
71	7228	113244
72	7313	112903
73	7398	112573
74	7487	112310
75	7602	112443
76	7710	112457
77	7798	112174
78	7886	111914
79	7970	111590
80	8059	111344
81	8141	110996
82	8223	110665
83	8303	110312
84	8388	110043
85	8472	109749
86	8564	109562
87	8644	109230
88	8733	109019
89	8819	108775
90	8904	108522
91	8999	108381
92	9090	108205
93	9172	107922
94	9260	107712
95	9340	107418
96	9422	107144
97	9502	106860
98	9601	106782
99	9688	106574
100	9767	106282
101	9851	106047
102	9935	105823
103	10027	105676
104	10124	105581
105	10203	105309
106	10293	105146
107	10381	104964
108	10484	104945
109	10573	104775
110	10661	104601
111	10745	104386
112	10839	104274
113	10916	103996
114	11011	103892
115	11108	103809
116	11190	103579
117	11272	103360
118	11354	103147
119	11442	102981
120	11526	102787
121	11615	102637
122	11701	102460
123	11788	102293
124	11867	102062
125	11960	101949
126	12052	101830
127	12138	101661
128	12223	101481
129	12303	101264
130	12388	101096
131	12475	100934
132	12563	100792
133	12649	100628
134	12739	100503
135	12816	100267
136	12901	100100
137	12990	99967
138	13086	99888
139	13168	99704
140	13254	99546
141	13339	99385
142	13420	99200
143	13501	99011
144	13587	98860
145	13662	98632
146	13751	98502
147	13831	98316
148	13917	98166
149	13996	97974
150	14086	97859
151	14167	97683
152	14268	97644
153	14353	97494
154	14434	97314
155	14529	97237
156	14614	97090
157	14703	96969
158	14791	96839
159	14882	96733
160	14964	96570
161	15053	96456
162	15135	96291
163	15223	96169
164	15308	96027
165	15392	95879
166	15487	95802
167	15570	95650
168	15658	95523
169	15744	95390
170	15831	95263
171	15918	95138
172	16010	95042
173	16103	94956
174	16192	94841
175	16273	94684
176	16359	94553
177	16447	94433
178	16538	94331
179	16625	94212
180	16709	94069
181	16798	93963
182	16880	93809
183	16964	93671
184	17055	93574
185	17138	93432
186	17228	93326
187	17319	93231
188	17418	93173
189	17521	93138
190	17622	93093
191	17717	93018
192	17812	92936
193	17893	92788
194	17990	92721
195	18105	92746
196	18196	92644
197	18286	92542
198	18373	92421
199	18460	92303
200	18553	92213
201	18648	92133
202	18753	92106
203	18845	92009
204	18941	91934
205	19058	91963
206	19208	92147
207	19348	92276
208	19492	92427
209	19633	92556
210	19779	92711
211	19902	92754
212	20062	92965
213	20212	93127
214	20361	93283
215	20503	93405
216	20628	93446
217	20770	93561
218	20898	93614
219	21049	93764
220	21179	93820
221	21325	93945
222	21450	93977
223	21588	94065
224	21719	94117
225	21851	94174
226	21996	94283
227	22130	94347
228	22263	94402
229	22375	94364
230	22514	94444
231	22616	94367
232	22707	94242
233	22810	94167
234	22897	94027
235	22991	93915
236	23083	93794
237	23174	93670
238	23263	93540
239	23352	93408
240	23444	93291
241	23540	93188
242	23666	93204
243	23790	93212
244	23907	93190
245	24023	93163
246	24122	93072
247	24222	92984
248	24310	92847
249	24400	92723
250	24492	92603
251	24587	92496
252	24670	92343
253	24758	92210
254	24832	92025
255	24916	91878
256	25015	91788
257	25126	91742
258	25213	91606
259	25307	91496
260	25403	91393
261	25488	91253
262	25602	91216
263	25693	91094
264	25793	91007
265	25892	90916
266	26019	90920
267	26133	90880
268	26243	90826
269	26357	90785
270	26452	90680
271	26544	90565
272	26626	90414
273	26709	90265
274	26802	90153
275	26917	90116
276	27042	90107
277	27128	89973
278	27214	89838
279	27310	89733
280	27394	89594
281	27481	89459
282	27565	89318
283	27656	89203
284	27741	89064
285	27824	88921
286	27919	88817
287	28016	88718
288	28108	88606
289	28196	88479
290	28291	88375
291	28378	88245
292	28457	88092
293	28544	87964
294	28630	87833
295	28724	87726
296	28852	87723
297	28959	87656
298	29078	87624
299	29175	87525
300	29265	87406
301	29346	87262
302	29432	87132
303	29516	86997
304	29600	86861
305	29688	86737
306	29789	86651
307	29880	86535
308	29964	86402
309	30056	86290
310	30139	86155
311	30228	86034
312	30316	85913
313	30403	85789
314	30483	85644
315	30569	85516
316	30685	85472
317	30782	85378
318	30883	85293
319	30966	85158
320	31066	85069
321	31152	84943
322	31240	84824
323	31329	84705
324	31411	84568
325	31496	84441
326	31577	84302
327	31665	84183
328	31750	84056
